RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_PR_1,RET_F1_1,RET_AP_1
0.0,0,0.0,0.0,0.0,0.01076206765214461,1.0,38.833333333333336,233,6,0.04807692307692307,0.029126213592233007,0.04807692307692307,0.04807692307692307,0.7808248996734619,0.8612183332443237,0.8190536499023438,0.7798269987106323,0.8250360488891602,0.8017947673797607,0.8943246901035309,0.8828111290931702,0.8885287642478943,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.01668849548187476,1.0,13.333333333333334,240,18,0.09917355371900827,0.04166666666666667,0.09090909090909091,0.08264462809917356,0.8169835209846497,0.8879220485687256,0.8509770035743713,0.8435015678405762,0.893107533454895,0.8675960898399353,0.8996462821960449,0.8993822932243347,0.8995091915130615,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.010025252525252526,1.0,25.0,100,4,0.06593406593406592,0.0449438202247191,0.06593406593406592,0.06593406593406592,0.7963129878044128,0.9055936336517334,0.8474447727203369,0.7990045547485352,0.8582338094711304,0.8275607824325562,0.9012991189956665,0.8869232535362244,0.8939561247825623,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.07690578586118572,0.0775377580693753,1.0,10.0,140,14,0.14705882352941177,0.1343283582089552,0.14705882352941177,0.14705882352941177,0.8114786148071289,0.9341140985488892,0.8684884905815125,0.7783076763153076,0.8153964877128601,0.7964205145835876,0.9085503220558167,0.8598136901855469,0.8834322094917297,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.04013999397285498,0.04222852649876058,1.0,10.733333333333333,161,15,0.11042944785276074,0.07453416149068323,0.09815950920245398,0.09815950920245398,0.8298442959785461,0.8890297412872314,0.8584181070327759,0.8306811451911926,0.8842610120773315,0.8566340804100037,0.907290518283844,0.913348376750946,0.9100853502750397,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.004573170731707317,1.0,32.8,164,5,0.028571428571428574,0.0,0.028571428571428574,0.028571428571428574,0.7666250467300415,0.8057396411895752,0.7856958508491516,0.7768970727920532,0.8082383871078491,0.7922579050064087,0.9265640676021576,0.9147317111492157,0.9204594790935516,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0021929824561403508,1.0,38.0,114,3,0.0,0.0,0.0,0.0,0.765805184841156,0.881808876991272,0.8197233080863953,0.780918538570404,0.8841755390167236,0.8293454051017761,0.8360467851161957,0.8880432844161987,0.8612605035305023,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.040188574865994225,1.0,5.777777777777778,156,27,0.19393939393939394,0.08588957055214726,0.13333333333333333,0.14545454545454545,0.831039547920227,0.8944422006607056,0.8615760207176208,0.8439396619796753,0.896623432636261,0.8694842457771301,0.942827433347702,0.9759385585784912,0.9587863385677338,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.048498401926993034,0.05942404808038445,1.0,6.333333333333333,228,36,0.2297872340425532,0.12875536480686695,0.14468085106382977,0.1702127659574468,0.8090905547142029,0.9015437364578247,0.8528187870979309,0.8742339611053467,0.9250397086143494,0.8989195227622986,0.844656229019165,0.8947542309761047,0.8689725995063782,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0008333333333333334,1.0,150.0,300,2,0.0,0.0,0.0,0.0,0.7537765502929688,0.9309266805648804,0.8330377340316772,0.7677090167999268,0.9105664491653442,0.8330575823783875,0.8837630450725555,0.8414875864982605,0.8617392778396606,0.0,0.0,0.0,0.0
