RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_RC_6,RET_RC_7,RET_RC_8,RET_RC_9,RET_RC_10,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_PR_6,RET_PR_7,RET_PR_8,RET_PR_9,RET_PR_10,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_F1_6,RET_F1_7,RET_F1_8,RET_F1_9,RET_F1_10,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5,RET_AP_6,RET_AP_7,RET_AP_8,RET_AP_9,RET_AP_10
0.0,0,0.0,0.0,0.0,0.008518883518361168,1.0,34.333333333333336,206,6,0.05405405405405406,0.04371584699453552,0.05405405405405406,0.05405405405405406,0.785003662109375,0.8693089485168457,0.8250081539154053,0.7496066093444824,0.8243640661239624,0.7852100133895874,0.9305017590522766,0.9364973306655884,0.9334898591041565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.018292682926829267,1.0,4.555555555555555,82,18,0.20512820512820512,0.052631578947368425,0.15384615384615383,0.15384615384615383,0.7714704275131226,0.8933759927749634,0.8279600143432617,0.8293213844299316,0.8987480401992798,0.8626400828361511,0.9481634497642517,0.9430774450302124,0.9456136226654053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0011961722488038277,1.0,104.5,418,4,0.005277044854881266,0.0,0.005277044854881266,0.005277044854881266,0.7409130930900574,0.8812569975852966,0.8050140142440796,0.7616304159164429,0.857617974281311,0.806779146194458,0.8633848428726196,0.840224027633667,0.8516470193862915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.03272254592767406,0.033459796746162375,1.0,14.5,203,14,0.07253886010362694,0.031413612565445025,0.05181347150259067,0.062176165803108814,0.7850984334945679,0.9053291082382202,0.8409380912780762,0.8141424655914307,0.9057988524436951,0.8575283885002136,0.8946103453636169,0.8682754635810852,0.8812462091445923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.013327545328869695,0.017651711314231676,1.0,13.266666666666667,199,15,0.08163265306122451,0.041237113402061855,0.061224489795918366,0.061224489795918366,0.7929832935333252,0.883774995803833,0.8359211087226868,0.8125481605529785,0.8654810190200806,0.8381797075271606,0.905460774898529,0.8954575061798096,0.9004265367984772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.007678179201696584,1.0,32.6,163,5,0.04195804195804196,0.028368794326241138,0.04195804195804196,0.04195804195804196,0.7738069891929626,0.9006284475326538,0.8324150443077087,0.784466028213501,0.8156623244285583,0.7997600436210632,0.8814095854759216,0.8813465237617493,0.8813780546188354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.011363636363636364,1.0,14.666666666666666,44,3,0.10256410256410257,0.05405405405405406,0.10256410256410257,0.10256410256410257,0.773873507976532,0.9014471769332886,0.8328030705451965,0.783470630645752,0.8819987773895264,0.8298202753067017,0.8380905985832214,0.8753954172134399,0.8563370108604431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.035062612704216484,0.04838496437082454,1.0,5.0,135,27,0.1830065359477124,0.06622516556291391,0.1437908496732026,0.1437908496732026,0.8482295274734497,0.9005639553070068,0.873613715171814,0.8045962452888489,0.8845630884170532,0.8426867723464966,0.8913071155548096,0.9541593790054321,0.9216629266738892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.007078823202886484,1.0,33.361111111111114,1201,36,0.046511627906976744,0.01863932898415657,0.037209302325581395,0.037209302325581395,0.7638605833053589,0.8470847606658936,0.8033229112625122,0.8414834141731262,0.903290867805481,0.8712924122810364,0.8409432172775269,0.8797503709793091,0.859909176826477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0015151515151515152,1.0,82.5,165,2,0.0,0.0,0.0,0.0,0.7658323049545288,0.9163705706596375,0.8343656659126282,0.7627356648445129,0.9233822822570801,0.8354061245918274,0.8141496777534485,0.8628224730491638,0.8377797603607178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
