RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_RC_6,RET_RC_7,RET_RC_8,RET_RC_9,RET_RC_10,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_PR_6,RET_PR_7,RET_PR_8,RET_PR_9,RET_PR_10,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_F1_6,RET_F1_7,RET_F1_8,RET_F1_9,RET_F1_10,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5,RET_AP_6,RET_AP_7,RET_AP_8,RET_AP_9,RET_AP_10
0.0,0,0.0,0.0,0.0,0.009204793028322441,1.0,22.666666666666668,136,6,0.06722689075630252,0.034188034188034185,0.050420168067226885,0.050420168067226885,0.779848575592041,0.8613326549530029,0.8185678124427795,0.7610055208206177,0.8208364248275757,0.7897894382476807,0.8912115693092346,0.8811221718788147,0.8861381411552429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.027808988764044945,1.0,5.0,90,18,0.22471910112359547,0.06896551724137931,0.15730337078651685,0.15730337078651685,0.8094440698623657,0.900357723236084,0.852483868598938,0.8329377770423889,0.8983572125434875,0.864411473274231,0.9564037919044495,0.9504891633987427,0.9534372687339783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.015444711538461539,1.0,16.25,65,4,0.1090909090909091,0.07547169811320754,0.1090909090909091,0.1090909090909091,0.8067275881767273,0.902296781539917,0.8518400192260742,0.7642421722412109,0.8564839363098145,0.807738184928894,0.9570159912109375,0.9218555092811584,0.9391067624092102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.005494505494505495,1.0,6.5,91,14,0.020408163265306124,0.0,0.020408163265306124,0.020408163265306124,0.8129758834838867,0.8265595436096191,0.819711446762085,0.8059413433074951,0.8921238780021667,0.8468455672264099,0.9034678936004639,0.8578436970710754,0.8800649046897888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.025453897553212267,0.03591165631982835,1.0,7.933333333333334,119,15,0.15517241379310345,0.07017543859649122,0.10344827586206895,0.10344827586206895,0.7920122146606445,0.885361909866333,0.836089551448822,0.8032021522521973,0.861906886100769,0.8315196633338928,0.9288316965103149,0.8827036023139954,0.9051803350448608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.005681818181818182,1.0,17.6,88,5,0.05063291139240507,0.0,0.05063291139240507,0.05063291139240507,0.794089674949646,0.820826530456543,0.8072367906570435,0.7802823185920715,0.8162277340888977,0.7978503704071045,0.88226118683815,0.9350900053977966,0.9077107012271881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.003125,1.0,26.666666666666668,80,3,0.0,0.0,0.0,0.0,0.8069836497306824,0.8820313215255737,0.8428401947021484,0.7856757044792175,0.8822608590126038,0.8311718106269836,0.8296698331832886,0.872606635093689,0.8505967259407043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.054471097057093895,0.06963655124155434,1.0,4.814814814814815,130,27,0.2571428571428572,0.08695652173913043,0.2,0.2,0.8386437892913818,0.9120466709136963,0.8738064169883728,0.8217458128929138,0.8838471174240112,0.8516659140586853,0.9890511631965637,0.9854674339294434,0.9872561097145081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.2841507155960174,0.2869045355432799,1.0,2.361111111111111,85,36,0.5309734513274336,0.45045045045045046,0.5132743362831858,0.5132743362831858,0.8789240717887878,0.948081374168396,0.9121938347816467,0.8414069414138794,0.9165372848510742,0.8773666620254517,0.9365643858909607,0.926255464553833,0.931381344795227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.00041118421052631577,1.0,304.0,608,2,0.0,0.0,0.0,0.0,0.7196094393730164,0.9078433513641357,0.8028406500816345,0.7688462138175964,0.9256734848022461,0.8400026559829712,0.9381088614463806,0.9278312921524048,0.9329417943954468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
