RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_RC_6,RET_RC_7,RET_RC_8,RET_RC_9,RET_RC_10,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_PR_6,RET_PR_7,RET_PR_8,RET_PR_9,RET_PR_10,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_F1_6,RET_F1_7,RET_F1_8,RET_F1_9,RET_F1_10,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5,RET_AP_6,RET_AP_7,RET_AP_8,RET_AP_9,RET_AP_10
0.0,0,0.0,0.0,0.0,0.002688172043010753,1.0,46.5,279,6,0.025423728813559324,0.008547008547008548,0.025423728813559324,0.025423728813559324,0.7597726583480835,0.8389918804168701,0.797419548034668,0.7879548668861389,0.8309534788131714,0.8088831305503845,0.9326487481594086,0.9320730566978455,0.932305097579956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.02365775322746009,1.0,10.0,180,18,0.13978494623655915,0.06521739130434782,0.11827956989247311,0.12903225806451613,0.8290693759918213,0.8955268859863281,0.8610177040100098,0.8121842741966248,0.8714000582695007,0.8407508134841919,0.8927029371261597,0.9005206823348999,0.8965553641319275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.00814674130347861,1.0,30.75,123,4,0.03773584905660377,0.019230769230769232,0.03773584905660377,0.03773584905660377,0.7875476479530334,0.8925491571426392,0.8367671966552734,0.8035710453987122,0.8761539459228516,0.8382943868637085,0.8646006286144257,0.879239410161972,0.8718434274196625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.006896551724137931,1.0,10.357142857142858,145,14,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.8028954267501831,0.8161212205886841,0.8094542622566223,0.8188714385032654,0.8317921161651611,0.8252812027931213,0.9211035966873169,0.8599286377429962,0.8894651532173157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.010713368968258528,0.014742031058676977,1.0,19.266666666666666,289,15,0.06569343065693431,0.044117647058823525,0.06569343065693431,0.06569343065693431,0.7890433073043823,0.8771981000900269,0.8307887315750122,0.8460099697113037,0.8816956877708435,0.863484263420105,0.9227909445762634,0.9257712662220001,0.9242765009403229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.01012677798392084,1.0,19.8,99,5,0.0689655172413793,0.047058823529411764,0.0689655172413793,0.0689655172413793,0.7956117987632751,0.9080101847648621,0.8481031656265259,0.7750121355056763,0.8183215856552124,0.7960782647132874,0.8827911019325256,0.9313933551311493,0.9064199030399323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.006756756756756757,1.0,12.333333333333334,37,3,0.0,0.0,0.0,0.0,0.7960941791534424,0.8827805519104004,0.8371993899345398,0.7836046814918518,0.8894914388656616,0.8331974148750305,0.9023221731185913,0.9505427777767181,0.925805002450943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.03478328693447649,0.04504450965356332,1.0,7.222222222222222,195,27,0.16326530612244897,0.08247422680412371,0.15306122448979592,0.14285714285714288,0.8376963138580322,0.8846568465232849,0.8605363368988037,0.8210731744766235,0.8823065757751465,0.8505892753601074,0.9842471480369568,0.9808511137962341,0.9825431406497955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.12557696699473841,0.12707417840148974,1.0,5.611111111111111,202,36,0.2895927601809955,0.23744292237442924,0.2805429864253393,0.26244343891402716,0.8339517712593079,0.9228231310844421,0.8761395215988159,0.873578667640686,0.9295717477798462,0.9007058143615723,0.8577140867710114,0.9167380034923553,0.8862376511096954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0011904761904761906,1.0,105.0,210,2,0.0,0.0,0.0,0.0,0.7596572041511536,0.9080634117126465,0.8272571563720703,0.785129725933075,0.9094319343566895,0.8427217602729797,0.9771585464477539,0.962883472442627,0.9699126482009888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,1.0,1.0,0.11723645137535521,0.11779190602006381,1.0,7.096774193548387,220,31,0.23255813953488372,0.20657276995305163,0.23255813953488372,0.23255813953488372,0.8391028642654419,0.9252759218215942,0.8800850510597229,0.8540676832199097,0.8927410840988159,0.8729763031005859,0.9111035764217377,0.9171280860900879,0.914042592048645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,1.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1,0.6309297535714575,0.0,0.047195358845965756,0.047466763498223034,1.0,14.266666666666667,428,30,0.11737089201877934,0.09905660377358491,0.11737089201877934,0.11267605633802816,0.7882736921310425,0.8923376202583313,0.8370838165283203,0.8431341052055359,0.8716716766357422,0.8571653962135315,0.9042283594608307,0.8480300307273865,0.8750359117984772,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.25,0.2,0.16666666666666666,0.14285714285714285,0.125,0.1111111111111111,0.1,0.0,0.6666666666666666,0.5,0.4,0.33333333333333337,0.2857142857142857,0.25,0.2222222222222222,0.19999999999999998,0.18181818181818182,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
