RET_RR,RET_CG,RET_DCG,RET_NDCG,A_BL_BL,A_BL_PR,A_BL_BREV,A_BL_LR,A_BL_LEN,A_BL_REF_LEN,A_RG1,A_RG2,A_RGL,A_RGL_SUM,A_BERT_RAG_PR,A_BERT_RAG_RC,A_BERT_RAG_F1,A_BERT_PR,A_BERT_RC,A_BERT_F1,A_AR_PR,A_AR_RC,A_AR_F1,RET_RC_1,RET_RC_2,RET_RC_3,RET_RC_4,RET_RC_5,RET_PR_1,RET_PR_2,RET_PR_3,RET_PR_4,RET_PR_5,RET_F1_1,RET_F1_2,RET_F1_3,RET_F1_4,RET_F1_5,RET_AP_1,RET_AP_2,RET_AP_3,RET_AP_4,RET_AP_5
0.0,0,0.0,0.0,0.0,0.005905511811023622,1.0,21.166666666666668,127,6,0.07017543859649122,0.03571428571428571,0.07017543859649122,0.07017543859649122,0.7947332859039307,0.8635880351066589,0.827731192111969,0.7667396068572998,0.8214361667633057,0.7931459546089172,0.9220023453235626,0.8839922845363617,0.9024922847747803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.015625,1.0,7.111111111111111,128,18,0.144,0.03252032520325203,0.11199999999999999,0.11199999999999999,0.7785196304321289,0.8882148265838623,0.8297574520111084,0.8073629140853882,0.8580266237258911,0.8319241404533386,0.948500394821167,0.9547146558761597,0.9515973329544067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.008791336748952026,1.0,28.5,114,4,0.04,0.020408163265306124,0.04,0.04,0.7884174585342407,0.9037864804267883,0.8421691656112671,0.807357907295227,0.8553037047386169,0.8306395411491394,0.9657798409461975,0.9139368534088135,0.9391434192657471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.01761803529548148,0.02237918913344043,1.0,10.428571428571429,146,14,0.055944055944055944,0.014184397163120569,0.04195804195804195,0.04195804195804195,0.8112738132476807,0.8896692991256714,0.8486649394035339,0.7798413038253784,0.8536494970321655,0.8150779604911804,0.9544473886489868,0.868384838104248,0.9093844294548035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.019355687797580554,0.026436333817565383,1.0,10.133333333333333,152,15,0.10810810810810811,0.0547945205479452,0.09459459459459459,0.09459459459459459,0.8057916760444641,0.8851667642593384,0.8436161875724792,0.8078188896179199,0.8733334541320801,0.8392996191978455,0.905536949634552,0.8670241832733154,0.8858622312545776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.005434782608695652,1.0,18.4,92,5,0.046511627906976744,0.0,0.046511627906976744,0.046511627906976744,0.7822539210319519,0.810921311378479,0.7963297367095947,0.7870698571205139,0.8110539317131042,0.7988818883895874,0.8936464786529541,0.9117921888828278,0.9020743668079376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.012195121951219513,1.0,13.666666666666666,41,3,0.10526315789473684,0.05555555555555556,0.10526315789473684,0.10526315789473684,0.7922165393829346,0.8988141417503357,0.8421555161476135,0.7637691497802734,0.8798977732658386,0.8177310824394226,0.8558064699172974,0.8879525661468506,0.8715831637382507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.029794940777920303,0.0420915536220511,1.0,5.962962962962963,161,27,0.178343949044586,0.07741935483870967,0.15286624203821655,0.178343949044586,0.8242276906967163,0.890181303024292,0.8559358716011047,0.8089648485183716,0.8689432144165039,0.8378820419311523,0.8822659850120544,0.9369285106658936,0.9087759852409363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.11277479818948326,0.12421961001323954,1.0,4.388888888888889,158,36,0.3497267759562842,0.23204419889502764,0.22950819672131145,0.2841530054644809,0.844553530216217,0.90018630027771,0.8714829683303833,0.8425557017326355,0.9116171598434448,0.8757269978523254,0.9491437673568726,0.9238612055778503,0.9363319277763367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0011312217194570137,1.0,110.5,221,2,0.0,0.0,0.0,0.0,0.7305155396461487,0.9167894124984741,0.8131207227706909,0.7934660911560059,0.9107494354248047,0.8480720520019531,0.9597090482711792,0.9473507404327393,0.9534898400306702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
