link,info_page_url,html_page_url,CELEX_id
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023D1978&qid=1698155004044&rid=26,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D1978,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023D1978,32023D1978
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023D1760&qid=1698155004044&rid=27,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D1760,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023D1760,32023D1760
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1669&qid=1698155004044&rid=28,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R1669,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023R1669,32023R1669
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1670&qid=1698155004044&rid=29,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R1670,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023R1670,32023R1670
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1640&qid=1698155004044&rid=30,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R1640,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023R1640,32023R1640
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1184&qid=1698155004044&rid=31,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R1184,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023R1184,32023R1184
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R1162&qid=1698155004044&rid=32,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R1162,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023R1162,32023R1162
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023D1112&qid=1698155004044&rid=33,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D1112,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023D1112,32023D1112
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R0826&qid=1698155004044&rid=34,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R0826,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023R0826,32023R0826
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R0736&qid=1698155004044&rid=35,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023R0736,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023R0736,32023R0736
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023D0208(02)&qid=1698155004044&rid=36,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0208(02),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023D0208(02),32023D0208(02)
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023D0225&qid=1698155004044&rid=37,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0225,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023D0225,32023D0225
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023D0226&qid=1698155004044&rid=38,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32023D0226,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32023D0226,32023D0226
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2576&qid=1698155004044&rid=39,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R2576,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2576,32022R2576
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2578&qid=1698155004044&rid=40,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R2578,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2578,32022R2578
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2577&qid=1698155004044&rid=41,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R2577,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2577,32022R2577
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D2461&qid=1698155004044&rid=42,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D2461,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D2461,32022D2461
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2301&qid=1698155004044&rid=43,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R2301,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2301,32022R2301
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2299&qid=1698155004044&rid=44,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R2299,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2299,32022R2299
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2202&qid=1698155004044&rid=45,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R2202,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R2202,32022R2202
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R1854&qid=1698155004044&rid=46,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R1854,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R1854,32022R1854
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D1842&qid=1698155004044&rid=47,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D1842,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D1842,32022D1842
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D1655&qid=1698155004044&rid=48,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D1655,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D1655,32022D1655
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D1657&qid=1698155004044&rid=49,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D1657,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D1657,32022D1657
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D1656&qid=1698155004044&rid=50,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D1656,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D1656,32022D1656
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R1369&qid=1698155004044&rid=51,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R1369,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R1369,32022R1369
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D1376&qid=1698155004044&rid=52,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D1376,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D1376,32022D1376
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D1296&qid=1698155004044&rid=53,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D1296,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D1296,32022D1296
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D1286&qid=1698155004044&rid=54,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D1286,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D1286,32022D1286
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R0996&qid=1698155004044&rid=55,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R0996,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R0996,32022R0996
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0606&qid=1698155004044&rid=56,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0606,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0606,32022D0606
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0599&qid=1698155004044&rid=57,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0599,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0599,32022D0599
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0602&qid=1698155004044&rid=58,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0602,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0602,32022D0602
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0600&qid=1698155004044&rid=59,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0600,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0600,32022D0600
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0605&qid=1698155004044&rid=60,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0605,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0605,32022D0605
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0611&qid=1698155004044&rid=61,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0611,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0611,32022D0611
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0610&qid=1698155004044&rid=62,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0610,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0610,32022D0610
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0607&qid=1698155004044&rid=63,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0607,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0607,32022D0607
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0604&qid=1698155004044&rid=64,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0604,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0604,32022D0604
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0601&qid=1698155004044&rid=65,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0601,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0601,32022D0601
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0609&qid=1698155004044&rid=66,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0609,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0609,32022D0609
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0608&qid=1698155004044&rid=67,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0608,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0608,32022D0608
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0589&qid=1698155004044&rid=68,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0589,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0589,32022D0589
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R0342&qid=1698155004044&rid=69,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022R0342,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022R0342,32022R0342
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0258&qid=1698155004044&rid=70,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D0258,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32022D0258,32022D0258
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R2003&qid=1698155004044&rid=71,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021R2003,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021R2003,32021R2003
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021D1919&qid=1698155004044&rid=72,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D1919,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021D1919,32021D1919
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021D1802&qid=1698155004044&rid=73,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D1802,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021D1802,32021D1802
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021D0986&qid=1698155004044&rid=74,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D0986,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021D0986,32021D0986
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021Q0618(01)&qid=1698155004044&rid=75,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021Q0618(01),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021Q0618(01),32021Q0618(01)
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021Q0618(02)&qid=1698155004044&rid=76,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021Q0618(02),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021Q0618(02),32021Q0618(02)
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R0765&qid=1698155004044&rid=77,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021R0765,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021R0765,32021R0765
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:22021A0430(04)&qid=1698155004044&rid=78,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:22021A0430(04),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:22021A0430(04),22021A0430(04)
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021D0553&qid=1698155004044&rid=79,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D0553,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021D0553,32021D0553
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021D0390&qid=1698155004044&rid=80,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D0390,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021D0390,32021D0390
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021D0359&qid=1698155004044&rid=81,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021D0359,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021D0359,32021D0359
https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R0100&qid=1698155004044&rid=82,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32021R0100,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32021R0100,32021R0100
